Name,user_ratings_total,category,rating,Latitude,Longitude,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,Weekly_Dropoff_Totes,Daily_Pickup_Totes,id,service_type,location_type
Bar 43,1.0,restaurant,1.0,29.2809684,-94.8108363,,,93.75,,POINT (-94.8108363 29.2809684),Currious,Med,No,Low,1.0,1.0,,Truck,
B. Jiggers Lounge,17.0,restaurant,2.5,29.2725013,-94.8166683,560,80,560,,POINT (-94.8166683 29.2725013),Skeptical,Med,No,High,1.0,1.0,,Truck,
Hummel's General Store & Deli,22.0,convenience store,4.5,29.20822,-94.9374899,700,100,700,,POINT (-94.9374899 29.20822),Skeptical,Med,No,Med,1.0,2.0,,Truck,
Grotto (under San Luis),136.0,restaurant,4.5,29.272606,-94.818427,0,0,93.75,,POINT (-94.818427 29.272606),Skeptional,Med,No,High,1.0,1.0,,Truck,
Rainforest Cafe,485.0,restaurant,3.0,29.27075307,-94.82020721,350,50,350,,POINT (-94.820207208395 29.270753067342),Skeptical,Med,No,High,1.0,1.0,,Truck,
Tortuga Mexican Kitchen,486.0,restaurant,3.0,29.26748848,-94.82559204,20,10,20,,POINT (-94.8255920410156 29.2674884796143),Opp,Med,No,Low,1.0,1.0,,Truck,
Rainforest Pyramid,26.0,restaurant,4.0,29.27548471,-94.85260158,,,750,"1 Hope Blvd Galveston, TX 77554",POINT (-94.8526015753142 29.2754847110984),Curious,Med,Yes,High,1.0,2.0,,Truck,
Aquarium Pyramid,56.0,restaurant,3.5,29.27236148,-94.85420043,,,750,"1 Hope Blvd Galveston, TX 77554",POINT (-94.8542004275391 29.2723614780696),Skeptical,Med,Yes,High,1.0,2.0,,Truck,
Moody Gardens Restaurant (shown under other restaurant),2.0,restaurant,3.0,29.2757299,-94.8520363,0,0,93.75,"1 Hope Boulevard, Galveston",POINT (-94.8520363 29.2757299),Skeptical,Med,Yes,High,1.0,1.0,,Truck,
Stuttgarden Tavern,2179.0,bar,4.2,29.3077483,-94.7947919,,,468.75,"111 23rd Street, Galveston",POINT (-94.7947919 29.3077483),Skeptical,Med,Yes,High,1.0,1.0,,Truck,
Mario's Pizza,219.0,restaurant,3.5,29.2082758,-94.9373606,0,0,93.75,"13708 Termini-san Luis Pass Rd Galveston, TX 77554",POINT (-94.9373606 29.2082758),Skeptical,Med,Yes,Low,1.0,1.0,,Truck,
The Original Mexican Cafe,2901.0,restaurant,4.3,29.3079298,-94.7836077,1015,145,1015,"1401 Market Street, Galveston",POINT (-94.7836077 29.3079298),Skeptical,Med,Yes,Low,1.0,1.0,,Truck,
Waterman's Restaurant,350.0,restaurant,3.0,29.2073822,-94.94924164,,,93.75,"14302 Stewart Rd Galveston, TX 77554",POINT (-94.9492416381836 29.2073822021484),Skeptical,Med,Yes,Med,1.0,1.0,,Truck,
Yamato,936.0,restaurant,4.4,29.2780918,-94.8316258,,,93.75,"2104 61st Street, Galveston",POINT (-94.8316258 29.2780918),Skeptical,Med,Yes,Low,1.0,1.0,,Truck,
Brewchachos Tacos & Cantina,1043.0,bar,4.2,29.3078756,-94.7925997,2800,400,2800,"2110 The Strand, Galveston",POINT (-94.7925997 29.3078756),Skeptical,Med,Yes,Med,1.0,1.0,,Truck,
Rosario`s flying pizza and pub,34.0,restaurant,4.6,29.3073255,-94.7928341,280,40,280,"2121 The Strand, Galveston",POINT (-94.7928341 29.3073255),Curious,Med,Yes,Low,1.0,1.0,,Truck,
MOD Coffeehouse,1811.0,cafe,4.7,29.305025,-94.7921056,1450,1250,1450,"2126 Postoffice St, Galveston",POINT (-94.7921056 29.305025),Skeptical,Med,Yes,Med,2.0,3.0,,Truck,
The Garden Thai Cuisine,146.0,restaurant,4.5,29.3065697,-94.7940546,210,30,210,"216 23rd Street, Galveston",POINT (-94.7940546 29.3065697),Skeptical,Med,Yes,Low,1.0,1.0,,Truck,
The Sandbar Grille,292.0,bar,4.0,29.1449775,-95.0470522,2000,1400,2000,"21706 Burnet Drive, Galveston",POINT (-95.0470522 29.1449775),Skeptical,Med,Yes,Med,1.0,1.0,,Truck,
Mario's Ristorante,215.0,restaurant,3.5,29.27708,-94.8315,210,175,210,"2202 61st St Galveston, TX 77551",POINT (-94.8315 29.27708),skeptical,Med,Yes,Med,1.0,1.0,,Truck,
Yaga's Cafe,1708.0,bar,4.4,29.3071481,-94.7949518,250,150,250,"2314 The Strand, Galveston",POINT (-94.7949518 29.3071481),Skeptical,Med,Yes,High,1.0,1.0,,Truck,
Brews Brothers,672.0,bar,4.3,29.3069004,-94.7958692,,,1125,"2404 The Strand, Galveston",POINT (-94.7958692 29.3069004),Skeptical,Med,Yes,Low,2.0,2.0,,Truck,
Bubba's on The Strand,113.0,bar,4.3,29.3065268,-94.7959158,,,1125,"2411 The Strand, Galveston",POINT (-94.7959158 29.3065268),Skeptical,Med,Yes,Low,2.0,2.0,,Truck,
Beerfoot Beach Bar,184.0,bar,4.4,29.2863254,-94.7942047,0,0,140.625,"2816 Avenue R 1/2, Galveston",POINT (-94.7942047 29.2863254),Skeptical,Med,Yes,High,1.0,1.0,,Truck,
Huli Huli Hut,1766.0,restaurant,4.3,29.3071699,-94.7892355,175,25,175,"312 19th Street, Galveston",POINT (-94.7892355 29.3071699),Skeptical,Med,Yes,Low,1.0,2.0,,Truck,
The Spot,12914.0,bar,4.3,29.2836047,-94.7980051,,,468.75,"3204 Seawall Boulevard, Galveston",POINT (-94.7980051 29.2836047),Skeptical,Med,Yes,High,1.0,1.0,,Truck,
Seahorse Grill,237.0,restaurant,4.5,29.24448719,-94.86803806,105,15,105,"3802 Cove View Blvd Ste C Galveston, TX 77554",POINT (-94.868038059798 29.244487190776),Curious,Med,Yes,Low,1.0,1.0,,Truck,
Suki Poke by the Sea,312.0,restaurant,4.4,29.3106151,-94.7726445,,,93.75,"427 Market Street, Galveston",POINT (-94.7726445 29.3106151),Skeptical,Med,Yes,Low,1.0,1.0,,Truck,
Papa's Pizza,475.0,restaurant,4.0,29.2765,-94.80952,3000,500,3000,"4400 Seawall Blvd Galveston, TX 77550",POINT (-94.80952 29.2765),Skeptical,Med,Yes,High,4.0,5.0,,Truck,
Koop's BBQ Kitchen,211.0,restaurant,4.8,29.2931568,-94.8173499,0,0,750,"4501 Broadway Avenue J, Galveston",POINT (-94.8173499 29.2931568),Skeptical,Med,Yes,Low,1.0,2.0,,Truck,
Salsas,5484.0,restaurant,4.3,29.275546,-94.811817,,,656.25,"4604 Seawall Boulevard, Galveston",POINT (-94.811817 29.275546),Skeptical,Med,Yes,Low,1.0,1.0,,Truck,
Russo's New York Pizzeria & Italian Kitchen - Galveston,1319.0,restaurant,4.3,29.3070053,-94.7717454,210,30,210,"500 Seawall Boulevard #300, Galveston",POINT (-94.7717454 29.3070053),Skeptical,Med,Yes,Low,1.0,1.0,,Truck,
Lolo Kai Smoothies and Wraps,338.0,restaurant,4.8,29.3039878,-94.7931018,,,750,"528 23rd Street, Galveston",POINT (-94.7931018 29.3039878),Curious,Med,Yes,Low,1.0,2.0,,Truck,
Gypsy Joynt,622.0,restaurant,4.5,29.27417239,-94.83164758,2000,1400,2000,"6105 Stewart Rd Galveston, TX 77551",POINT (-94.8316475822502 29.2741723877485),TBD,Med,Yes,Med,1.0,2.0,,Truck,
Café Canela,412.0,restaurant,4.6,29.2744235,-94.8308258,350,50,350,"6105 Stewart Road Suite C, Galveston",POINT (-94.8308258 29.2744235),Skeptical,Med,Yes,Low,1.0,1.0,,Truck,
Gino's Italian Restaurant and Pizzeria,1056.0,restaurant,4.3,29.2753139,-94.832217,35,5,35,"6124 Stewart Road, Galveston",POINT (-94.832217 29.2753139),Skeptical,Med,Yes,Low,1.0,1.0,,Truck,
Vida Agave,155.0,restaurant,4.7,29.30184,-94.795515,70,10,70,"711 25th Street, Galveston",POINT (-94.795515 29.30184),Skeptical,Med,Yes,Low,1.0,1.0,,Truck,
Seawall Coffee Company,47.0,restaurant,4.5,29.24463873,-94.86782336,1050,350,1050,,POINT (-94.8678233612548 29.244638725096),Curious,Med,Yes,Low,1.0,2.0,,Truck,
,,,,29.327492480392152,-94.77293767650016,,,,,,,,,,0.0,1.0,1000.0,Truck,outdoor
,,,,29.3066150729322,-94.80622984152676,,,,,,,,,,0.0,1.0,1003.0,Truck,outdoor
,,,,29.307076972140123,-94.80319324564574,,,,,,,,,,0.0,1.0,1004.0,Truck,outdoor
,,,,29.3123833091588,-94.78134476729088,,,,,,,,,,0.0,1.0,1006.0,Truck,outdoor
,,,,29.292139728627397,-94.8337225887035,,,,,,,,,,0.0,1.0,1010.0,Truck,outdoor
,,,,29.303024858193197,-94.78196938671564,,,,,,,,,,0.0,1.0,1011.0,Truck,outdoor
,,,,29.287709640220097,-94.86417580978328,,,,,,,,,,0.0,1.0,1017.0,Truck,outdoor
,,,,29.29108366340304,-94.83901023515826,,,,,,,,,,0.0,1.0,1018.0,Truck,outdoor
,,,,29.29042142675482,-94.8334411310532,,,,,,,,,,0.0,1.0,1019.0,Truck,outdoor
,,,,29.267539716885995,-94.85524271265918,,,,,,,,,,0.0,1.0,1020.0,Truck,outdoor
,,,,29.31011047969046,-94.77345456833449,,,,,,,,,,0.0,1.0,2000.0,Truck,outdoor
,,,,29.30692299243964,-94.77255791424268,,,,,,,,,,0.0,1.0,2001.0,Truck,outdoor
,,,,29.303174485909715,-94.78149423839945,,,,,,,,,,0.0,1.0,2002.0,Truck,outdoor
,,,,29.304348273085257,-94.77228403555635,,,,,,,,,,0.0,1.0,2003.0,Truck,outdoor
,,,,29.307855191372283,-94.77061008567384,,,,,,,,,,0.0,1.0,2004.0,Truck,outdoor
,,,,29.31903163297094,-94.74937088786088,,,,,,,,,,0.0,1.0,2005.0,Truck,outdoor
,,,,29.296987170079213,-94.79125240816202,,,,,,,,,,0.0,1.0,2006.0,Truck,outdoor
,,,,29.317084188399047,-94.77687451055668,,,,,,,,,,0.0,1.0,2008.0,Truck,outdoor
,,,,29.275166318239137,-94.82198101001254,,,,,,,,,,0.0,1.0,2009.0,Truck,outdoor
,,,,29.27510482953612,-94.81271795927027,,,,,,,,,,0.0,1.0,2011.0,Truck,outdoor
,,,,29.290079781803342,-94.80141651349544,,,,,,,,,,0.0,1.0,2012.0,Truck,outdoor
,,,,29.28713138145065,-94.7902187937728,,,,,,,,,,0.0,1.0,2013.0,Truck,outdoor
,,,,29.269059709958142,-94.82321262591007,,,,,,,,,,0.0,1.0,2014.0,Truck,outdoor
,,,,29.294467025132217,-94.8254596884219,,,,,,,,,,0.0,1.0,2015.0,Truck,outdoor
,,,,29.30149614872541,-94.79228185255494,,,,,,,,,,0.0,1.0,2016.0,Truck,outdoor
,,,,29.29032253864521,-94.83971047446586,,,,,,,,,,0.0,1.0,2017.0,Truck,outdoor
,,,,29.27008306635599,-94.82860688351526,,,,,,,,,,0.0,1.0,2018.0,Truck,outdoor
,,,,29.27466850361676,-94.8308675247102,,,,,,,,,,0.0,1.0,2019.0,Truck,outdoor
,,,,29.27588208130422,-94.83104920246144,,,,,,,,,,0.0,1.0,2020.0,Truck,outdoor
,,,,29.264478371825057,-94.8319366364599,,,,,,,,,,0.0,1.0,2021.0,Truck,outdoor
,,,,29.265467772956114,-94.86949678276189,,,,,,,,,,0.0,1.0,2022.0,Truck,outdoor
,,,,29.25802666551796,-94.8585634701748,,,,,,,,,,0.0,1.0,2023.0,Truck,outdoor
,,,,29.243452340388263,-94.86778062999728,,,,,,,,,,0.0,1.0,2024.0,Truck,outdoor
,,,,29.200509132181256,-94.94920025811072,,,,,,,,,,0.0,1.0,2025.0,Truck,outdoor
,,,,29.2085240573132,-94.93739816125932,,,,,,,,,,0.0,1.0,2026.0,Truck,outdoor
,,,,29.144976394730858,-95.0468334206239,,,,,,,,,,0.0,1.0,2027.0,Truck,outdoor
,,,,29.085700851392566,-95.11776778416598,,,,,,,,,,0.0,1.0,2028.0,Truck,outdoor
,,,,29.330690124659,-94.73484853399322,,,,,,,,,,0.0,1.0,3000.0,Truck,outdoor
,,,,29.3320127193003,-94.73960832343784,,,,,,,,,,0.0,1.0,3001.0,Truck,outdoor
,,,,29.32605153615685,-94.74227712140768,,,,,,,,,,0.0,1.0,3002.0,Truck,outdoor
,,,,29.32322311143816,-94.7449019143859,,,,,,,,,,0.0,1.0,3003.0,Truck,outdoor
,,,,29.30764081524064,-94.76572801010091,,,,,,,,,,0.0,1.0,3004.0,Truck,outdoor
,,,,29.306890391999296,-94.76679385290824,,,,,,,,,,0.0,1.0,3005.0,Truck,outdoor
,,,,29.306065117409027,-94.767950723184,,,,,,,,,,0.0,1.0,3006.0,Truck,outdoor
,,,,29.305082322225285,-94.7692474874237,,,,,,,,,,0.0,1.0,3007.0,Truck,outdoor
,,,,29.298333179256616,-94.77754696577183,,,,,,,,,,0.0,1.0,3008.0,Truck,outdoor
,,,,29.27677205068795,-94.8082561071602,,,,,,,,,,0.0,1.0,3009.0,Truck,outdoor
,,,,29.278482396580216,-94.80526213325668,,,,,,,,,,0.0,1.0,3010.0,Truck,outdoor
,,,,29.28038269046843,-94.80236790400106,,,,,,,,,,0.0,1.0,3011.0,Truck,outdoor
,,,,29.282876114591787,-94.79867731012496,,,,,,,,,,0.0,1.0,3012.0,Truck,outdoor
,,,,29.28506169914705,-94.79493642483013,,,,,,,,,,0.0,1.0,3013.0,Truck,outdoor
,,,,29.28645386043989,-94.79283633899044,,,,,,,,,,0.0,1.0,3014.0,Truck,outdoor
,,,,29.289013989903104,-94.78918032046477,,,,,,,,,,0.0,1.0,3015.0,Truck,outdoor
,,,,29.291804838061307,-94.7855794129526,,,,,,,,,,0.0,1.0,3016.0,Truck,outdoor
,,,,29.29478947063417,-94.78168618656736,,,,,,,,,,0.0,1.0,3017.0,Truck,outdoor
,,,,29.27425339937392,-94.8124062388772,,,,,,,,,,0.0,1.0,3018.0,Truck,outdoor
,,,,29.27207251896977,-94.81618144806576,,,,,,,,,,0.0,1.0,3019.0,Truck,outdoor
,,,,29.270206728176856,-94.81987694535516,,,,,,,,,,0.0,1.0,3020.0,Truck,outdoor
,,,,29.266291220605424,-94.8262520532695,,,,,,,,,,0.0,1.0,3021.0,Truck,outdoor
,,,,29.263467832281307,-94.83155513372616,,,,,,,,,,0.0,1.0,3022.0,Truck,outdoor
,,,,29.2581766503582,-94.841316614341,,,,,,,,,,0.0,1.0,3023.0,Truck,outdoor
,,,,29.260958542086108,-94.8361248635164,,,,,,,,,,0.0,1.0,3024.0,Truck,outdoor
,,,,29.2405914297026,-94.8738468189325,,,,,,,,,,0.0,1.0,3025.0,Truck,outdoor
,,,,29.292771721098887,-94.79551215028134,,,,,,,,,,0.0,1.0,3026.0,Truck,outdoor
,,,,29.2724794692196,-94.84125378845,,,,,,,,,,0.0,1.0,3027.0,Truck,outdoor
,,,,29.260198462095197,-94.84864400281596,,,,,,,,,,0.0,1.0,3028.0,Truck,outdoor
,,,,29.33442883012103,-94.77960042237318,,,,,,,,,,0.0,1.0,3029.0,Truck,outdoor
,,,,29.23872499917516,-94.87811761972976,,,,,,,,,,0.0,1.0,3030.0,Truck,outdoor
,,,,29.2277225320811,-94.89604294830498,,,,,,,,,,0.0,1.0,3031.0,Truck,outdoor
,,,,29.210431153328607,-94.9278228922708,,,,,,,,,,0.0,1.0,3032.0,Truck,outdoor
,,,,29.19352527673134,-94.95403603262106,,,,,,,,,,0.0,1.0,3033.0,Truck,outdoor
,,,,29.196347559108165,-94.95608616231785,,,,,,,,,,0.0,1.0,3034.0,Truck,outdoor
Moody Gardens,,,,29.2736,-94.8523,,,,,,,,,,0.0,0.0,,,depot
