Longitude,Latitude,Name,user_ratings_total,category,rating,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,location_type,pickup_type,Weekly_Dropoff_Totes,Daily_Pickup_Totes,id
-94.81661,29.27279,Jetty,30.0,restaurant,2.5,,,93.75,HI seawall,POINT (-94.81661 29.27279),Skeptical,Med,No,High,indoor,truck,1.0,1.0,
-95.0404814,29.1415146,Galveston Food Truck Park,6.0,food,5.0,,,0,"Nest to the Wet Whistle Bar in Sea Isle, 21510 Termini-San Luis Pass Road, Galveston",POINT (-95.0404814 29.1415146),Skeptical,Med,No,Low,indoor,truck,1.0,1.0,
-94.81829196,29.27254012,Blake's Bistro (under San Luis),70.0,restaurant,4.0,0,0,93.75,San Luis Hotel,POINT (-94.8182919630244 29.2725401175338),Skeptical,Med,No,High,indoor,truck,1.0,1.0,
-94.8108363,29.2809684,Bar 43,1.0,restaurant,1.0,,,93.75,,POINT (-94.8108363 29.2809684),Currious,Med,No,Low,indoor,truck,1.0,1.0,
-94.8166683,29.2725013,B. Jiggers Lounge,17.0,restaurant,2.5,560,80,560,,POINT (-94.8166683 29.2725013),Skeptical,Med,No,High,indoor,truck,1.0,1.0,
-94.9374899,29.20822,Hummel's General Store & Deli,22.0,convenience store,4.5,700,100,700,,POINT (-94.9374899 29.20822),Skeptical,Med,No,Med,indoor,truck,1.0,2.0,
-94.818427,29.272606,Grotto (under San Luis),136.0,restaurant,4.5,0,0,93.75,,POINT (-94.818427 29.272606),Skeptional,Med,No,High,indoor,truck,1.0,1.0,
-94.82020721,29.27075307,Rainforest Cafe,485.0,restaurant,3.0,350,50,350,,POINT (-94.820207208395 29.270753067342),Skeptical,Med,No,High,indoor,truck,1.0,1.0,
-94.82559204,29.26748848,Tortuga Mexican Kitchen,486.0,restaurant,3.0,20,10,20,,POINT (-94.8255920410156 29.2674884796143),Opp,Med,No,Low,indoor,truck,1.0,1.0,
-94.85260158,29.27548471,Rainforest Pyramid,26.0,restaurant,4.0,,,750,"1 Hope Blvd Galveston, TX 77554",POINT (-94.8526015753142 29.2754847110984),Curious,Med,Yes,High,indoor,truck,1.0,2.0,
-94.85420043,29.27236148,Aquarium Pyramid,56.0,restaurant,3.5,,,750,"1 Hope Blvd Galveston, TX 77554",POINT (-94.8542004275391 29.2723614780696),Skeptical,Med,Yes,High,indoor,truck,1.0,2.0,
-94.8520363,29.2757299,Moody Gardens Restaurant (shown under other restaurant),2.0,restaurant,3.0,0,0,93.75,"1 Hope Boulevard, Galveston",POINT (-94.8520363 29.2757299),Skeptical,Med,Yes,High,indoor,truck,1.0,1.0,
-94.7947919,29.3077483,Stuttgarden Tavern,2179.0,bar,4.2,,,468.75,"111 23rd Street, Galveston",POINT (-94.7947919 29.3077483),Skeptical,Med,Yes,High,indoor,truck,1.0,1.0,
-94.9373606,29.2082758,Mario's Pizza,219.0,restaurant,3.5,0,0,93.75,"13708 Termini-san Luis Pass Rd Galveston, TX 77554",POINT (-94.9373606 29.2082758),Skeptical,Med,Yes,Low,indoor,truck,1.0,1.0,
-94.7836077,29.3079298,The Original Mexican Cafe,2901.0,restaurant,4.3,1015,145,1015,"1401 Market Street, Galveston",POINT (-94.7836077 29.3079298),Skeptical,Med,Yes,Low,indoor,truck,1.0,1.0,
-94.94924164,29.2073822,Waterman's Restaurant,350.0,restaurant,3.0,,,93.75,"14302 Stewart Rd Galveston, TX 77554",POINT (-94.9492416381836 29.2073822021484),Skeptical,Med,Yes,Med,indoor,truck,1.0,1.0,
-94.8316258,29.2780918,Yamato,936.0,restaurant,4.4,,,93.75,"2104 61st Street, Galveston",POINT (-94.8316258 29.2780918),Skeptical,Med,Yes,Low,indoor,truck,1.0,1.0,
-94.7925997,29.3078756,Brewchachos Tacos & Cantina,1043.0,bar,4.2,2800,400,2800,"2110 The Strand, Galveston",POINT (-94.7925997 29.3078756),Skeptical,Med,Yes,Med,indoor,truck,1.0,1.0,
-94.7928341,29.3073255,Rosario`s flying pizza and pub,34.0,restaurant,4.6,280,40,280,"2121 The Strand, Galveston",POINT (-94.7928341 29.3073255),Curious,Med,Yes,Low,indoor,truck,1.0,1.0,
-94.7921056,29.305025,MOD Coffeehouse,1811.0,cafe,4.7,1450,1250,1450,"2126 Postoffice St, Galveston",POINT (-94.7921056 29.305025),Skeptical,Med,Yes,Med,indoor,truck,2.0,3.0,
-94.7940546,29.3065697,The Garden Thai Cuisine,146.0,restaurant,4.5,210,30,210,"216 23rd Street, Galveston",POINT (-94.7940546 29.3065697),Skeptical,Med,Yes,Low,indoor,truck,1.0,1.0,
-95.0470522,29.1449775,The Sandbar Grille,292.0,bar,4.0,2000,1400,2000,"21706 Burnet Drive, Galveston",POINT (-95.0470522 29.1449775),Skeptical,Med,Yes,Med,indoor,truck,1.0,1.0,
-94.8315,29.27708,Mario's Ristorante,215.0,restaurant,3.5,210,175,210,"2202 61st St Galveston, TX 77551",POINT (-94.8315 29.27708),skeptical,Med,Yes,Med,indoor,truck,1.0,1.0,
-94.7949518,29.3071481,Yaga's Cafe,1708.0,bar,4.4,250,150,250,"2314 The Strand, Galveston",POINT (-94.7949518 29.3071481),Skeptical,Med,Yes,High,indoor,truck,1.0,1.0,
-94.7958692,29.3069004,Brews Brothers,672.0,bar,4.3,,,1125,"2404 The Strand, Galveston",POINT (-94.7958692 29.3069004),Skeptical,Med,Yes,Low,indoor,truck,2.0,2.0,
-94.7959158,29.3065268,Bubba's on The Strand,113.0,bar,4.3,,,1125,"2411 The Strand, Galveston",POINT (-94.7959158 29.3065268),Skeptical,Med,Yes,Low,indoor,truck,2.0,2.0,
-94.7942047,29.2863254,Beerfoot Beach Bar,184.0,bar,4.4,0,0,140.625,"2816 Avenue R 1/2, Galveston",POINT (-94.7942047 29.2863254),Skeptical,Med,Yes,High,indoor,truck,1.0,1.0,
-94.7892355,29.3071699,Huli Huli Hut,1766.0,restaurant,4.3,175,25,175,"312 19th Street, Galveston",POINT (-94.7892355 29.3071699),Skeptical,Med,Yes,Low,indoor,truck,1.0,2.0,
-94.7980051,29.2836047,The Spot,12914.0,bar,4.3,,,468.75,"3204 Seawall Boulevard, Galveston",POINT (-94.7980051 29.2836047),Skeptical,Med,Yes,High,indoor,truck,1.0,1.0,
-94.86803806,29.24448719,Seahorse Grill,237.0,restaurant,4.5,105,15,105,"3802 Cove View Blvd Ste C Galveston, TX 77554",POINT (-94.868038059798 29.244487190776),Curious,Med,Yes,Low,indoor,truck,1.0,1.0,
-94.7726445,29.3106151,Suki Poke by the Sea,312.0,restaurant,4.4,,,93.75,"427 Market Street, Galveston",POINT (-94.7726445 29.3106151),Skeptical,Med,Yes,Low,indoor,truck,1.0,1.0,
-94.80952,29.2765,Papa's Pizza,475.0,restaurant,4.0,3000,500,3000,"4400 Seawall Blvd Galveston, TX 77550",POINT (-94.80952 29.2765),Skeptical,Med,Yes,High,indoor,truck,4.0,5.0,
-94.8173499,29.2931568,Koop's BBQ Kitchen,211.0,restaurant,4.8,0,0,750,"4501 Broadway Avenue J, Galveston",POINT (-94.8173499 29.2931568),Skeptical,Med,Yes,Low,indoor,truck,1.0,2.0,
-94.811817,29.275546,Salsas,5484.0,restaurant,4.3,,,656.25,"4604 Seawall Boulevard, Galveston",POINT (-94.811817 29.275546),Skeptical,Med,Yes,Low,indoor,truck,1.0,1.0,
-94.7717454,29.3070053,Russo's New York Pizzeria & Italian Kitchen - Galveston,1319.0,restaurant,4.3,210,30,210,"500 Seawall Boulevard #300, Galveston",POINT (-94.7717454 29.3070053),Skeptical,Med,Yes,Low,indoor,truck,1.0,1.0,
-94.7931018,29.3039878,Lolo Kai Smoothies and Wraps,338.0,restaurant,4.8,,,750,"528 23rd Street, Galveston",POINT (-94.7931018 29.3039878),Curious,Med,Yes,Low,indoor,truck,1.0,2.0,
-94.83164758,29.27417239,Gypsy Joynt,622.0,restaurant,4.5,2000,1400,2000,"6105 Stewart Rd Galveston, TX 77551",POINT (-94.8316475822502 29.2741723877485),TBD,Med,Yes,Med,indoor,truck,1.0,2.0,
-94.8308258,29.2744235,Café Canela,412.0,restaurant,4.6,350,50,350,"6105 Stewart Road Suite C, Galveston",POINT (-94.8308258 29.2744235),Skeptical,Med,Yes,Low,indoor,truck,1.0,1.0,
-94.832217,29.2753139,Gino's Italian Restaurant and Pizzeria,1056.0,restaurant,4.3,35,5,35,"6124 Stewart Road, Galveston",POINT (-94.832217 29.2753139),Skeptical,Med,Yes,Low,indoor,truck,1.0,1.0,
-94.795515,29.30184,Vida Agave,155.0,restaurant,4.7,70,10,70,"711 25th Street, Galveston",POINT (-94.795515 29.30184),Skeptical,Med,Yes,Low,indoor,truck,1.0,1.0,
-94.86782336,29.24463873,Seawall Coffee Company,47.0,restaurant,4.5,1050,350,1050,,POINT (-94.8678233612548 29.244638725096),Curious,Med,Yes,Low,indoor,truck,1.0,2.0,
-94.77293767650016,29.327492480392152,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,1000.0
-94.79652426820594,29.30682933975252,,,,,,,,,,,,,,outdoor,Bike,0.0,1.0,1001.0
-94.79468452427888,29.30753393564195,,,,,,,,,,,,,,outdoor,Bike,0.0,1.0,1002.0
-94.80622984152676,29.306615072932196,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,1003.0
-94.80319324564574,29.307076972140123,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,1004.0
-94.79850319363544,29.308164157460592,,,,,,,,,,,,,,outdoor,Bike,0.0,1.0,1005.0
-94.78134476729088,29.3123833091588,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,1006.0
-94.79578217640906,29.30090513320724,,,,,,,,,,,,,,outdoor,Bike,0.0,1.0,1007.0
-94.7932658871674,29.301064005835528,,,,,,,,,,,,,,outdoor,Bike,0.0,1.0,1008.0
-94.78891769107824,29.303192407402246,,,,,,,,,,,,,,outdoor,Bike,0.0,1.0,1009.0
-94.8337225887035,29.292139728627394,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,1010.0
-94.78196938671564,29.303024858193194,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,1011.0
-94.79567444799896,29.30696419276517,,,,,,,,,,,,,,outdoor,Bike,0.0,1.0,1012.0
-94.79338136883872,29.30760607604601,,,,,,,,,,,,,,outdoor,Bike,0.0,1.0,1013.0
-94.79216796262608,29.30762661449017,,,,,,,,,,,,,,outdoor,Bike,0.0,1.0,1014.0
-94.79104994247152,29.308214480020617,,,,,,,,,,,,,,outdoor,Bike,0.0,1.0,1015.0
-94.79448543312456,29.30708461014235,,,,,,,,,,,,,,outdoor,Bike,0.0,1.0,1016.0
-94.86417580978328,29.287709640220097,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,1017.0
-94.83901023515826,29.29108366340304,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,1018.0
-94.8334411310532,29.29042142675482,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,1019.0
-94.85524271265918,29.267539716885995,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,1020.0
-94.77345456833449,29.31011047969046,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2000.0
-94.77255791424268,29.30692299243964,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2001.0
-94.78149423839945,29.303174485909715,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2002.0
-94.77228403555635,29.304348273085257,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2003.0
-94.77061008567384,29.307855191372283,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2004.0
-94.74937088786088,29.31903163297094,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2005.0
-94.79125240816202,29.296987170079213,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2006.0
-94.7898969706002,29.306879649441004,,,,,,,,,,,,,,outdoor,Bike,0.0,1.0,2007.0
-94.77687451055668,29.317084188399047,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2008.0
-94.82198101001254,29.275166318239137,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2009.0
-94.8070897627476,29.284031380957845,,,,,,,,,,,,,,outdoor,Bike,0.0,1.0,2010.0
-94.81271795927027,29.27510482953612,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2011.0
-94.80141651349544,29.290079781803342,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2012.0
-94.7902187937728,29.28713138145065,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2013.0
-94.82321262591007,29.269059709958142,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2014.0
-94.8254596884219,29.294467025132217,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2015.0
-94.79228185255494,29.30149614872541,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2016.0
-94.83971047446586,29.29032253864521,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2017.0
-94.82860688351526,29.27008306635599,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2018.0
-94.8308675247102,29.27466850361676,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2019.0
-94.83104920246144,29.27588208130422,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2020.0
-94.8319366364599,29.264478371825057,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2021.0
-94.86949678276189,29.26546777295611,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2022.0
-94.8585634701748,29.258026665517956,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2023.0
-94.86778062999728,29.243452340388263,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2024.0
-94.94920025811072,29.200509132181256,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2025.0
-94.93739816125932,29.2085240573132,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2026.0
-95.0468334206239,29.144976394730858,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2027.0
-95.11776778416598,29.085700851392566,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,2028.0
-94.73484853399322,29.330690124658997,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3000.0
-94.73960832343784,29.3320127193003,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3001.0
-94.74227712140768,29.32605153615685,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3002.0
-94.7449019143859,29.32322311143816,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3003.0
-94.76572801010091,29.30764081524064,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3004.0
-94.76679385290824,29.306890391999296,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3005.0
-94.767950723184,29.306065117409027,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3006.0
-94.7692474874237,29.305082322225285,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3007.0
-94.77754696577183,29.298333179256616,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3008.0
-94.8082561071602,29.27677205068795,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3009.0
-94.80526213325668,29.278482396580216,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3010.0
-94.80236790400106,29.28038269046843,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3011.0
-94.79867731012496,29.282876114591787,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3012.0
-94.79493642483013,29.285061699147057,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3013.0
-94.79283633899044,29.28645386043989,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3014.0
-94.78918032046477,29.289013989903104,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3015.0
-94.7855794129526,29.291804838061307,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3016.0
-94.78168618656736,29.29478947063417,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3017.0
-94.8124062388772,29.27425339937392,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3018.0
-94.81618144806576,29.272072518969775,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3019.0
-94.81987694535516,29.270206728176856,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3020.0
-94.8262520532695,29.266291220605424,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3021.0
-94.83155513372616,29.263467832281307,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3022.0
-94.841316614341,29.2581766503582,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3023.0
-94.8361248635164,29.260958542086108,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3024.0
-94.8738468189325,29.240591429702597,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3025.0
-94.79551215028134,29.292771721098887,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3026.0
-94.84125378845,29.272479469219597,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3027.0
-94.84864400281596,29.260198462095193,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3028.0
-94.77960042237318,29.33442883012103,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3029.0
-94.87811761972976,29.23872499917516,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3030.0
-94.89604294830498,29.2277225320811,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3031.0
-94.9278228922708,29.210431153328607,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3032.0
-94.95403603262106,29.19352527673134,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3033.0
-94.95608616231785,29.196347559108165,,,,,,,,,,,,,,outdoor,Truck,0.0,1.0,3034.0
